"Order","Method","Time"
2,"Assembled.matrix",0.071
3,"Assembled.matrix",0.339
4,"Assembled.matrix",1.673
5,"Assembled.matrix",5.214
6,"Assembled.matrix",13.558
7,"Assembled.matrix",31.968
8,"Assembled.matrix",107.809
2,"Matrix.free.tensor.product",2.34
3,"Matrix.free.tensor.product",4.271
4,"Matrix.free.tensor.product",8.522
5,"Matrix.free.tensor.product",13.154
6,"Matrix.free.tensor.product",19.371
7,"Matrix.free.tensor.product",28.991
8,"Matrix.free.tensor.product",39.555
2,"Matrix.free.single.loop",2.408
3,"Matrix.free.single.loop",3.762
4,"Matrix.free.single.loop",7.75
5,"Matrix.free.single.loop",12.027
6,"Matrix.free.single.loop",24.322
7,"Matrix.free.single.loop",30.816
8,"Matrix.free.single.loop",48.816
